OBJECTID,COUNTRY,XCOORD,YCOORD
54,Benin,2.438562,6.500471
54,Benin,1.90548,6.294644
54,Benin,1.903476,6.294253
54,Benin,1.902334,6.295473
54,Benin,1.903855,6.295993
54,Benin,1.90548,6.294644
54,Benin,1.87336,6.289635
54,Benin,1.869613,6.288119
54,Benin,1.869238,6.288651
54,Benin,1.869813,6.289308
54,Benin,1.87336,6.289635
54,Benin,2.491271,6.399318
54,Benin,2.48941,6.398636
54,Benin,2.488264,6.399395
54,Benin,2.489261,6.40014
54,Benin,2.491271,6.399318
54,Benin,2.458918,6.491746
54,Benin,2.458497,6.490295
54,Benin,2.457245,6.492294
54,Benin,2.457765,6.492835
54,Benin,2.458918,6.491746
54,Benin,1.932545,6.294305
54,Benin,1.930607,6.293858
54,Benin,1.928945,6.294499
54,Benin,1.930114,6.29485
54,Benin,1.932545,6.294305
54,Benin,2.575292,6.46265
54,Benin,2.574645,6.461824
54,Benin,2.575119,6.464601
54,Benin,2.576007,6.463806
54,Benin,2.575292,6.46265
54,Benin,2.612163,6.465851
54,Benin,2.610576,6.465488
54,Benin,2.609372,6.466071
54,Benin,2.612163,6.465851
60,Botswana,25.169362,-17.778819
60,Botswana,25.95712,-18.92306
60,Botswana,26.165963,-19.541073
60,Botswana,27.207567,-20.08554
60,Botswana,27.290462,-20.498257
60,Botswana,27.724033,-20.513535
60,Botswana,27.693273,-21.087055
60,Botswana,28.018186,-21.573629
60,Botswana,28.998317,-21.769997
60,Botswana,29.06416,-22.036343
60,Botswana,29.371055,-22.196674
60,Botswana,28.339644,-22.574329
60,Botswana,27.74228,-23.230419
60,Botswana,27.134528,-23.524218
60,Botswana,26.855552,-24.263735
60,Botswana,26.409052,-24.646959
60,Botswana,25.850627,-24.759579
60,Botswana,25.511371,-25.685703
60,Botswana,24.682978,-25.823965
60,Botswana,23.92731,-25.638227
60,Botswana,23.46442,-25.276279
60,Botswana,23.00864,-25.297823
60,Botswana,22.726758,-26.015148
60,Botswana,22.054697,-26.630259
60,Botswana,21.788666,-26.674719
60,Botswana,21.695769,-26.861658
60,Botswana,20.69017,-26.902256
60,Botswana,20.604607,-26.519108
60,Botswana,20.862403,-26.135702
60,Botswana,20.813771,-25.871687
60,Botswana,20.386607,-25.037824
60,Botswana,20.000005,-24.766067
60,Botswana,20.001111,-22.001667
60,Botswana,20.99923,-22.000809
60,Botswana,20.999427,-18.31788
60,Botswana,23.314216,-18.003159
60,Botswana,23.616367,-18.501921
60,Botswana,24.198984,-18.01922
60,Botswana,24.576476,-18.073272
60,Botswana,25.169362,-17.778819
76,Burkina Faso,-0.721664,15.087147
76,Burkina Faso,0.230153,15
76,Burkina Faso,0.168285,14.521276
76,Burkina Faso,0.383668,14.301453
76,Burkina Faso,0.414623,14.002247
76,Burkina Faso,0.619351,13.703728
76,Burkina Faso,1.283643,13.351822
76,Burkina Faso,0.991211,13.371094
76,Burkina Faso,1.014593,13.025494
76,Burkina Faso,1.574823,12.636852
76,Burkina Faso,1.97861,12.735901
76,Burkina Faso,2.205078,12.624023
76,Burkina Faso,2.274976,12.423649
76,Burkina Faso,2.06618,12.353611
76,Burkina Faso,2.408929,11.89991
76,Burkina Faso,2.305664,11.674805
76,Burkina Faso,2,11.422852
76,Burkina Faso,1.444934,11.478481
76,Burkina Faso,1.14033,11.271973
76,Burkina Faso,1.113285,11.031389
76,Burkina Faso,0.502038,10.935516
76,Burkina Faso,-0.274733,11.175842
76,Burkina Faso,-0.613486,10.912857
76,Burkina Faso,-2.833166,11.005134
76,Burkina Faso,-2.941013,10.615561
76,Burkina Faso,-2.773141,10.420275
76,Burkina Faso,-2.766284,9.415318
76,Burkina Faso,-3.189189,9.935535
76,Burkina Faso,-4.132097,9.84787
76,Burkina Faso,-4.314189,9.597759
76,Burkina Faso,-4.77899,9.739895
76,Burkina Faso,-5.110872,10.307729
76,Burkina Faso,-5.511864,10.430467
76,Burkina Faso,-5.488362,11.08248
76,Burkina Faso,-5.199366,11.439943
76,Burkina Faso,-5.40373,11.830645
76,Burkina Faso,-4.545911,12.145729
76,Burkina Faso,-4.363909,12.533341
76,Burkina Faso,-4.477586,12.728262
76,Burkina Faso,-4.217397,12.791691
76,Burkina Faso,-4.347788,13.128662
76,Burkina Faso,-3.969239,13.502541
76,Burkina Faso,-3.445184,13.156968
76,Burkina Faso,-3.235695,13.293972
76,Burkina Faso,-3.260977,13.715572
76,Burkina Faso,-2.876354,13.657723
76,Burkina Faso,-2.813878,14.077435
76,Burkina Faso,-2.473898,14.302998
76,Burkina Faso,-2.04552,14.174728
76,Burkina Faso,-1.973952,14.542465
76,Burkina Faso,-1.102797,14.807339
76,Burkina Faso,-0.721664,15.087147
77,Burundi,30.421477,-2.326183
77,Burundi,30.54273,-2.413452
77,Burundi,30.40645,-2.860351
77,Burundi,30.852614,-2.970428
77,Burundi,30.834954,-3.259173
77,Burundi,30.449849,-3.562317
77,Burundi,30.039933,-4.277458
77,Burundi,29.758017,-4.462681
77,Burundi,29.368206,-4.446545
77,Burundi,29.215193,-3.869419
77,Burundi,29.259003,-3.072224
77,Burundi,29.002734,-2.80941
77,Burundi,29.052518,-2.623501
77,Burundi,29.325448,-2.64925
77,Burundi,29.367888,-2.836812
77,Burundi,29.723588,-2.817993
77,Burundi,29.924534,-2.686672
77,Burundi,29.965381,-2.319875
77,Burundi,30.133659,-2.437763
77,Burundi,30.421477,-2.326183
81,Cameroon,8.782815,4.783627
81,Cameroon,8.768698,4.532114
81,Cameroon,8.774593,4.840387
81,Cameroon,8.69564,4.667138
81,Cameroon,8.5583,4.777642
81,Cameroon,8.821396,5.185976
81,Cameroon,8.841756,5.825501
81,Cameroon,9.466533,6.455069
81,Cameroon,9.705224,6.511717
81,Cameroon,9.780203,6.797018
81,Cameroon,10.153547,7.038803
81,Cameroon,10.217667,6.892376
81,Cameroon,10.492982,6.905251
81,Cameroon,10.571002,7.162914
81,Cameroon,11.097223,6.520729
81,Cameroon,11.35019,6.503735
81,Cameroon,11.619069,6.973872
81,Cameroon,11.87046,7.088413
81,Cameroon,11.812321,7.248058
81,Cameroon,12.223843,7.99942
81,Cameroon,12.262219,8.434539
81,Cameroon,12.784967,8.744259
81,Cameroon,12.847826,9.37151
81,Cameroon,13.227125,9.581645
81,Cameroon,13.249471,10.037556
81,Cameroon,13.485399,10.195484
81,Cameroon,13.733868,11.007614
81,Cameroon,13.978998,11.314545
81,Cameroon,14.198306,11.25618
81,Cameroon,14.6197,11.530666
81,Cameroon,14.674807,12.17474
